"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","7","Saturday","50","Dublin Bus","Number","150482"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","10","Cork city","Number","156483"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","20","Galway city","Number","64427"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","30","Limerick city","Number","51723"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","50","Dublin Bus","Number","1361663"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","10","Cork city","Number","10355"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","20","Galway city","Number","4517"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","30","Limerick city","Number","3044"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","50","Dublin Bus","Number","103611"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","10","Cork city","Number","25337"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","20","Galway city","Number","10563"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","30","Limerick city","Number","8474"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","50","Dublin Bus","Number","220312"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","10","Cork city","Number","23906"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","20","Galway city","Number","10009"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","30","Limerick city","Number","7907"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","50","Dublin Bus","Number","207848"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","10","Cork city","Number","26096"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","20","Galway city","Number","10590"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","30","Limerick city","Number","8684"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","50","Dublin Bus","Number","219031"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","10","Cork city","Number","25294"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","20","Galway city","Number","10417"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","30","Limerick city","Number","8611"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","50","Dublin Bus","Number","219392"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","10","Cork city","Number","26154"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","20","Galway city","Number","10493"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","30","Limerick city","Number","8682"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","50","Dublin Bus","Number","225516"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","10","Cork city","Number","19342"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","20","Galway city","Number","7838"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","30","Limerick city","Number","6321"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","50","Dublin Bus","Number","165952"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","10","Cork city","Number","156483"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","20","Galway city","Number","64427"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","30","Limerick city","Number","51723"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","50","Dublin Bus","Number","2357514"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","1","Sunday","10","Cork city","Number","10355"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","1","Sunday","20","Galway city","Number","4517"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","1","Sunday","30","Limerick city","Number","3044"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","1","Sunday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","1","Sunday","50","Dublin Bus","Number","190053"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","2","Monday","10","Cork city","Number","25337"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","2","Monday","20","Galway city","Number","10563"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","2","Monday","30","Limerick city","Number","8474"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","2","Monday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","2","Monday","50","Dublin Bus","Number","373427"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","3","Tuesday","10","Cork city","Number","23906"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","3","Tuesday","20","Galway city","Number","10009"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","3","Tuesday","30","Limerick city","Number","7907"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","3","Tuesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","3","Tuesday","50","Dublin Bus","Number","364159"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","4","Wednesday","10","Cork city","Number","26096"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","4","Wednesday","20","Galway city","Number","10590"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","4","Wednesday","30","Limerick city","Number","8684"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","4","Wednesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","4","Wednesday","50","Dublin Bus","Number","376995"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","5","Thursday","10","Cork city","Number","25294"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","5","Thursday","20","Galway city","Number","10417"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","5","Thursday","30","Limerick city","Number","8611"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","5","Thursday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","5","Thursday","50","Dublin Bus","Number","386896"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","6","Friday","10","Cork city","Number","26154"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","6","Friday","20","Galway city","Number","10493"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","6","Friday","30","Limerick city","Number","8682"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","6","Friday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","6","Friday","50","Dublin Bus","Number","379933"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","7","Saturday","10","Cork city","Number","19342"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","7","Saturday","20","Galway city","Number","7838"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","7","Saturday","30","Limerick city","Number","6321"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","7","Saturday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","7","Saturday","50","Dublin Bus","Number","286052"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","-","All days","10","Cork city","Number","332414"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","-","All days","20","Galway city","Number","143263"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","-","All days","30","Limerick city","Number","118937"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","-","All days","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","-","All days","50","Dublin Bus","Number","2846026"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","1","Sunday","10","Cork city","Number","22314"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","1","Sunday","20","Galway city","Number","10269"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","1","Sunday","30","Limerick city","Number","6903"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","1","Sunday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","1","Sunday","50","Dublin Bus","Number","227967"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","2","Monday","10","Cork city","Number","53941"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","2","Monday","20","Galway city","Number","23358"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","2","Monday","30","Limerick city","Number","19013"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","2","Monday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","2","Monday","50","Dublin Bus","Number","452137"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","10","Cork city","Number","52411"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","20","Galway city","Number","22554"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","30","Limerick city","Number","18882"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","50","Dublin Bus","Number","445061"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","10","Cork city","Number","53970"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","20","Galway city","Number","22942"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","30","Limerick city","Number","19527"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","50","Dublin Bus","Number","457391"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","10","Cork city","Number","55012"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","20","Galway city","Number","23417"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","30","Limerick city","Number","20215"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","50","Dublin Bus","Number","461804"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","10","Cork city","Number","54556"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","20","Galway city","Number","23277"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","30","Limerick city","Number","19995"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","50","Dublin Bus","Number","458740"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","10","Cork city","Number","40210"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","20","Galway city","Number","17446"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","30","Limerick city","Number","14402"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","50","Dublin Bus","Number","342926"
